izoneareaid,level,vroleid,expchange,expreason,expsubreason,mapid,sumexp,,54939
1204,44,0X04B402013C336A85,13,20,0,21,405006,,
1204,44,0X04B402013C336A85,14,20,0,21,405020,,
1204,44,0X04B402013C336A85,14,20,0,21,405034,,
1204,44,0X04B402013C336A85,14,20,0,21,405048,,
1204,44,0X04B402013C336A85,13,20,0,21,405061,,
1204,44,0X04B402013C336A85,14,20,0,21,405075,,
1204,44,0X04B402013C336A85,14,20,0,21,405089,,
1204,44,0X04B402013C336A85,14,20,0,21,399098,,
1204,44,0X04B402013C336A85,14,20,0,21,399084,,
1204,44,0X04B402013C336A85,14,20,0,21,399181,,
1204,44,0X04B402013C336A85,13,20,0,21,399221,,
1204,44,0X04B402013C336A85,14,20,0,21,399070,,
1204,44,0X04B402013C336A85,14,20,0,21,399167,,
1204,44,0X04B402013C336A85,14,20,0,21,399112,,
1204,44,0X04B402013C336A85,14,20,0,21,399208,,
1204,44,0X04B402013C336A85,14,20,0,21,399139,,
1204,44,0X04B402013C336A85,14,20,0,21,399235,,
1204,44,0X04B402013C336A85,13,20,0,21,399248,,
1204,44,0X04B402013C336A85,13,20,0,21,399125,,
1204,44,0X04B402013C336A85,14,20,0,21,399153,,
1204,44,0X04B402013C336A85,14,20,0,21,399262,,
1204,44,0X04B402013C336A85,14,20,0,21,399289,,
1204,44,0X04B402013C336A85,13,20,0,21,399275,,
1204,44,0X04B402013C336A85,13,20,0,21,399302,,
1204,44,0X04B402013C336A85,14,20,0,21,399316,,
1204,44,0X04B402013C336A85,14,20,0,21,399330,,
1204,44,0X04B402013C336A85,14,20,0,21,399357,,
1204,44,0X04B402013C336A85,13,20,0,21,399343,,
1204,44,0X04B402013C336A85,13,20,0,21,399370,,
1204,44,0X04B402013C336A85,14,20,0,21,399384,,
1204,44,0X04B402013C336A85,134,20,0,21,385933,,
1204,44,0X04B402013C336A85,134,20,0,21,386067,,
1204,44,0X04B402013C336A85,140,20,0,21,386207,,
1204,44,0X04B402013C336A85,140,20,0,21,386347,,
1204,44,0X04B402013C336A85,140,20,0,21,386487,,
1204,44,0X04B402013C336A85,140,20,0,21,386627,,
1204,44,0X04B402013C336A85,134,20,0,21,386761,,
1204,44,0X04B402013C336A85,134,20,0,21,386895,,
1204,44,0X04B402013C336A85,140,20,0,21,387035,,
1204,44,0X04B402013C336A85,134,20,0,21,387449,,
1204,44,0X04B402013C336A85,140,20,0,21,387175,,
1204,44,0X04B402013C336A85,140,20,0,21,387315,,
1204,44,0X04B402013C336A85,134,20,0,21,387583,,
1204,44,0X04B402013C336A85,134,20,0,21,387991,,
1204,44,0X04B402013C336A85,134,20,0,21,387717,,
1204,44,0X04B402013C336A85,140,20,0,21,387857,,
1204,44,0X04B402013C336A85,140,20,0,21,388131,,
1204,44,0X04B402013C336A85,134,20,0,21,388399,,
1204,44,0X04B402013C336A85,134,20,0,21,388533,,
1204,44,0X04B402013C336A85,134,20,0,21,388265,,
1204,44,0X04B402013C336A85,140,20,0,21,388673,,
1204,44,0X04B402013C336A85,134,20,0,21,388807,,
1204,44,0X04B402013C336A85,134,20,0,21,388941,,
1204,44,0X04B402013C336A85,280,20,0,21,160109,,
1204,44,0X04B402013C336A85,280,20,0,21,159269,,
1204,44,0X04B402013C336A85,280,20,0,21,160389,,
1204,44,0X04B402013C336A85,280,20,0,21,159829,,
1204,44,0X04B402013C336A85,268,20,0,21,160925,,
1204,44,0X04B402013C336A85,268,20,0,21,160657,,
1204,44,0X04B402013C336A85,268,20,0,21,161473,,
1204,44,0X04B402013C336A85,268,20,0,21,161741,,
1204,44,0X04B402013C336A85,280,20,0,21,161205,,
1204,44,0X04B402013C336A85,280,20,0,21,162021,,
1204,44,0X04B402013C336A85,280,20,0,21,162301,,
1204,44,0X04B402013C336A85,280,20,0,21,162581,,
1204,44,0X04B402013C336A85,268,20,0,21,162849,,
1204,44,0X04B402013C336A85,280,20,0,21,163129,,
1204,44,0X04B402013C336A85,268,20,0,21,163397,,
1204,44,0X04B402013C336A85,280,20,0,21,163945,,
1204,44,0X04B402013C336A85,268,20,0,21,163665,,
1204,44,0X04B402013C336A85,280,20,0,21,164225,,
1204,44,0X04B402013C336A85,140,20,0,21,275619,,
1204,44,0X04B402013C336A85,134,20,0,21,275205,,
1204,44,0X04B402013C336A85,140,20,0,21,275071,,
1204,44,0X04B402013C336A85,140,20,0,21,276173,,
1204,44,0X04B402013C336A85,134,20,0,21,275479,,
1204,44,0X04B402013C336A85,140,20,0,21,275345,,
1204,44,0X04B402013C336A85,140,20,0,21,275759,,
1204,44,0X04B402013C336A85,134,20,0,21,275893,,
1204,44,0X04B402013C336A85,134,20,0,21,276307,,
1204,44,0X04B402013C336A85,140,20,0,21,276033,,
1204,47,0X04B402013C336A85,1014,128,94,104,795233,,
1204,47,0X04B402013C336A85,2704,128,94,104,805035,,
1204,48,0X04B402013C336A85,9200,10,16,15,309233,,
1204,46,0X04B402013C336A85,15,20,0,34,928685,,
1204,46,0X04B402013C336A85,17,20,0,34,928719,,
1204,46,0X04B402013C336A85,17,20,0,34,928849,,
1204,46,0X04B402013C336A85,17,20,0,34,928913,,
1204,46,0X04B402013C336A85,5,20,0,351,923519,,
1204,46,0X04B402013C336A85,5,20,0,351,923529,,
1204,46,0X04B402013C336A85,5,20,0,351,923649,,
1204,46,0X04B402013C336A85,5,20,0,351,923664,,
1204,46,0X04B402013C336A85,5,20,0,351,923694,,
1204,46,0X04B402013C336A85,5,20,0,351,923714,,
1204,46,0X04B402013C336A85,5,20,0,351,923734,,
1204,46,0X04B402013C336A85,5,20,0,351,923739,,
1204,46,0X04B402013C336A85,5,20,0,351,923749,,
1204,46,0X04B402013C336A85,5,20,0,351,923884,,
1204,47,0X04B402013C336A85,2,20,0,15,433355,,
1204,47,0X04B402013C336A85,2,20,0,15,433367,,
1204,47,0X04B402013C336A85,7392,10,16,10,447807,,
1204,47,0X04B402013C336A85,2,20,0,15,579187,,
1204,47,0X04B402013C336A85,6688,10,16,15,591863,,
1204,46,0X04B402013C336A85,13,20,0,21,912837,,
1204,46,0X04B402013C336A85,13,20,0,21,912850,,
1204,46,0X04B402013C336A85,13,20,0,21,912863,,
1204,46,0X04B402013C336A85,13,20,0,21,912876,,
1204,46,0X04B402013C336A85,13,20,0,21,912889,,
1204,46,0X04B402013C336A85,13,20,0,21,912915,,
1204,46,0X04B402013C336A85,13,20,0,21,912902,,
1204,46,0X04B402013C336A85,13,20,0,21,912941,,
1204,46,0X04B402013C336A85,13,20,0,21,912928,,
1204,46,0X04B402013C336A85,13,20,0,21,912954,,
1204,46,0X04B402013C336A85,13,20,0,21,912980,,
